subEventName,description,count
Shot,"Counter attack, Right foot, Opportunity, Position: Out high right, Not accurate",7.0
Ground attacking duel,"Interception, Take on left, Lost, Not accurate",7.0
Ground defending duel,"Free space right, Anticipated, Won, Accurate",7.0
Shot,"Right foot, Position: Out high left, Not accurate",7.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center, Accurate",6.0
Shot,"Right foot, Opportunity, Position: Post high left, Not accurate",6.0
Ground defending duel,"Free space left, Anticipated, Neutral, Accurate",6.0
Hand pass,Not accurate,6.0
Hand pass,"Fairplay, Not accurate",6.0
Ground defending duel,"Counter attack, Free space right, Won, Accurate",6.0
Ground defending duel,"Counter attack, Free space left, Won, Accurate",6.0
Ground attacking duel,"Free space right, Anticipation, Neutral, Accurate",6.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal low center, Accurate",6.0
Ground attacking duel,"Free space right, Anticipation, Lost, Not accurate",6.0
High pass,"Key pass, Accurate",6.0
Shot,"Goal, Left foot, Opportunity, Position: Goal center right, Accurate",6.0
Cross,"Counter attack, Left foot, High, Not accurate",6.0
Free kick cross,Not accurate,6.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out high left, Not accurate",6.0
Smart pass,"Counter attack, Not accurate",5.0
Ground defending duel,"Free space right, Anticipated, Neutral, Accurate",5.0
Ground defending duel,"Free space left, Sliding tackle, Neutral, Accurate",5.0
High pass,"Interception, Through, Not accurate",5.0
High pass,"Counter attack, Through, Not accurate",5.0
Cross,"Counter attack, Right foot, Accurate",5.0
Shot,"Counter attack, Right foot, Blocked, Not accurate",5.0
Clearance,"Counter attack, Accurate",5.0
Ground attacking duel,"Take on left, Anticipation, Neutral, Accurate",5.0
Free kick cross,Accurate,5.0
Touch,"Counter attack, Missed ball",5.0
Launch,"Counter attack, Accurate",5.0
Ground defending duel,"Take on right, Anticipated, Neutral, Accurate",5.0
Acceleration,"Counter attack, Interception, Accurate",5.0
Head pass,"Counter attack, Not accurate",5.0
Ground attacking duel,"Counter attack, Take on left, Neutral, Accurate",5.0
Clearance,"Counter attack, Interception, Not accurate",5.0
Cross,"Assist, Right foot, Accurate",5.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out high left, Not accurate",5.0
High pass,"Counter attack, Through, Accurate",5.0
Ground defending duel,"Counter attack, Take on right, Won, Accurate",5.0
Save attempt,"Goal, Position: Goal high right, Not accurate",5.0
Shot,"Goal, Left foot, Opportunity, Position: Goal low center, Accurate",5.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Out high center, Not accurate",5.0
Smart pass,"Key pass, Counter attack, Through, Accurate",5.0
Shot,"Left foot, Opportunity, Position: Goal high center, Accurate",5.0
Cross,"Assist, Left foot, Accurate",5.0
Cross,"Head/body, High, Not accurate",5.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center right, Accurate",4.0
Ground defending duel,"Take on left, Anticipated, Neutral, Accurate",4.0
Penalty,"Goal, Right foot, Position: Goal center, Accurate",4.0
Penalty,"Goal, Right foot, Position: Goal center left, Accurate",4.0
Smart pass,"Assist, Through, Accurate",4.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out low right, Not accurate",4.0
Shot,"Goal, Left foot, Opportunity, Position: Goal low right, Accurate",4.0
Clearance,No specific tags,4.0
Ground defending duel,"Counter attack, Take on right, Lost, Not accurate",4.0
Reflexes,"Position: Goal high left, Accurate",4.0
Touch,"Counter attack, Feint",4.0
Shot,"Head/body, Opportunity, Position: Goal high right, Accurate",4.0
Ground defending duel,"Take on right, Sliding tackle, Anticipated, Lost, Not accurate",4.0
Shot,"Head/body, Opportunity, Position: Goal low left, Accurate",4.0
Shot,"Head/body, Position: Out low right, Not accurate",4.0
Ground attacking duel,"Interception, Take on right, Lost, Not accurate",4.0
Ground attacking duel,"Counter attack, Take on left, Lost, Not accurate",4.0
Shot,"Goal, Head/body, Opportunity, Position: Goal center left, Accurate",4.0
Ground defending duel,"Sliding tackle, Anticipated, Won, Accurate",4.0
Foul,Counter attack,4.0
Save attempt,"Position: Goal high left, Accurate",4.0
Shot,"Head/body, Blocked, Not accurate",4.0
Shot,"Left foot, Opportunity, Position: Goal high left, Accurate",4.0
Air duel,"Counter attack, Neutral, Accurate",4.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center left, Accurate",4.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal center, Accurate",4.0
Shot,"Goal, Counter attack, Right foot, Opportunity, Position: Goal low left, Accurate",4.0
Shot,"Goal, Left foot, Opportunity, Position: Goal high left, Accurate",4.0
Ground defending duel,"Counter attack, Neutral, Accurate",4.0
Shot,"Right foot, Position: Out center right, Not accurate",4.0
Air duel,"Assist, Won, Accurate",4.0
Shot,"Goal, Right foot, Opportunity, Position: Goal high left, Accurate",4.0
Save attempt,"Goal, Position: Goal high left, Not accurate",4.0
Ground defending duel,"Sliding tackle, Anticipated, Neutral, Accurate",4.0
High pass,"Dangerous ball lost, Not accurate",4.0
Head pass,"Dangerous ball lost, Not accurate",4.0
Shot,"Goal, Head/body, Opportunity, Position: Goal high center, Accurate",4.0
High pass,"Assist, Through, Accurate",4.0
Shot,"Goal, Head/body, Opportunity, Position: Goal low left, Accurate",4.0
Corner,"Blocked, Not accurate",4.0
Ground attacking duel,"Counter attack, Free space left, Lost, Not accurate",4.0
Simple pass,"Dangerous ball lost, Accurate",4.0
Launch,"Counter attack, Interception, Accurate",3.0
Ground loose ball duel,"Interception, Won, Accurate",3.0
Shot,"Goal, Counter attack, Left foot, Opportunity, Position: Goal low center, Accurate",3.0
Penalty,"Goal, Right foot, Position: Goal high left, Accurate",3.0
Shot,"Goal, Left foot, Opportunity, Position: Goal center left, Accurate",3.0
Cross,"Counter attack, Right foot, High, Accurate",3.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out high right, Not accurate",3.0
Ground defending duel,"Counter attack, Sliding tackle, Won, Accurate",3.0
Shot,"Head/body, Opportunity, Position: Post high right, Not accurate",3.0
Penalty,"Goal, Right foot, Position: Goal low center, Accurate",3.0
Penalty,"Goal, Right foot, Position: Goal high right, Accurate",3.0
Shot,"Counter attack, Left foot, Blocked, Opportunity, Not accurate",3.0
Cross,"Assist, Left foot, High, Accurate",3.0
Violent Foul,Yellow card,3.0
Ground attacking duel,"Opportunity, Take on left, Neutral, Accurate",3.0
Ground attacking duel,"Dangerous ball lost, Take on left, Lost, Not accurate",3.0
Ground defending duel,"Counter attack, Free space left, Lost, Not accurate",3.0
Shot,"Head/body, Position: Out high left, Not accurate",3.0
Ground attacking duel,"Counter attack, Take on left, Anticipation, Won, Accurate",3.0
Shot,"Right foot, Opportunity, Position: Goal high right, Accurate",3.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal center, Accurate",3.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal low right, Accurate",3.0
Ground attacking duel,"Counter attack, Free space right, Neutral, Accurate",3.0
Simple pass,"Counter attack, Interception, Not accurate",3.0
Hand foul,Yellow card,3.0
Cross,"Head/body, High, Accurate",3.0
High pass,"Counter attack, Interception, Accurate",3.0
Shot,"Goal, Head/body, Opportunity, Position: Goal center, Accurate",3.0
Shot,"Goal, Head/body, Opportunity, Position: Goal low right, Accurate",3.0
Shot,"Left foot, Position: Out high right, Not accurate",3.0
Clearance,"Dangerous ball lost, Not accurate",3.0
Clearance,"Own goal, Interception, Accurate",3.0
Corner,"Key pass, Accurate",3.0
Ground defending duel,"Counter attack, Free space right, Lost, Not accurate",3.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal high right, Accurate",3.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal low left, Accurate",3.0
Free kick cross,"Key pass, High, Not accurate",3.0
Ground attacking duel,"Opportunity, Lost, Not accurate",3.0
Penalty,"Right foot, Position: Goal low right, Not accurate",3.0
Simple pass,"Dangerous ball lost, Interception, Not accurate",3.0
Penalty,"Right foot, Position: Goal center left, Not accurate",3.0
Ground attacking duel,"Dangerous ball lost, Take on right, Lost, Not accurate",3.0
Ground defending duel,"Counter attack, Take on right, Sliding tackle, Won, Accurate",3.0
